case_id,trial,tier,source,negative_case,expected_decision,actual_decision,status,automatic_pass,passed,failures,outcome_failures,diagnostic_clean,diagnostic_warnings,review_status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,duration_ms,backend,model,prompt_version,descriptor_version,call_mode,autonomy,policy,reviewers
REF-6002,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21376,349,True,0.0021966,16818.26,live,openai/gpt-4o-mini,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6003,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21389,339,True,0.00220215,14174.261,live,openai/gpt-4o-mini,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6004,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16488,258,True,0.001476,6502.808,live,openai/gpt-4o-mini,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6005,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,11978,186,True,0.0010731,12564.933,live,openai/gpt-4o-mini,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6006,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16471,262,True,0.00147585,11745.535,live,openai/gpt-4o-mini,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6007,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16525,261,True,0.00148335,11069.05,live,openai/gpt-4o-mini,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6008,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,11987,189,True,0.00107625,13771.343,live,openai/gpt-4o-mini,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6015,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,11993,185,True,0.00107475,12687.625,live,openai/gpt-4o-mini,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6016,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16514,252,True,0.0014763,4994.432,live,openai/gpt-4o-mini,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6017,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16555,288,True,0.00150405,12508.159,live,openai/gpt-4o-mini,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
