case_id,trial,tier,source,negative_case,expected_decision,actual_decision,status,automatic_pass,passed,failures,review_status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,duration_ms,backend,model,prompt_version,descriptor_version,call_mode,autonomy,policy,reviewers
REF-6002,1,core,team,False,book,book,completed,True,True,,accepted,4,21645,526,True,0.00136585,15295.678,live,qwen/qwen3-30b-a3b-instruct-2507,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6003,1,core,team,False,book,book,completed,True,True,,accepted,4,21652,531,True,0.00174231,28300.439,live,qwen/qwen3-30b-a3b-instruct-2507,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6004,1,core,team,False,book,book,completed,True,True,,accepted,4,21404,517,True,0.00164232,14140.314,live,qwen/qwen3-30b-a3b-instruct-2507,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6005,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,pending,3,16610,370,True,0.00107508,14316.823,live,qwen/qwen3-30b-a3b-instruct-2507,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6006,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,pending,3,16597,420,True,0.00148993,12615.414,live,qwen/qwen3-30b-a3b-instruct-2507,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6007,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,pending,3,16654,423,True,0.00132751,9947.7,live,qwen/qwen3-30b-a3b-instruct-2507,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6008,1,core,team,False,book,book,completed,True,True,,accepted,4,21554,497,True,0.00163393,25511.266,live,qwen/qwen3-30b-a3b-instruct-2507,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6015,1,core,team,False,book,book,completed,True,True,,accepted,4,21483,540,True,0.00158006,12856.974,live,qwen/qwen3-30b-a3b-instruct-2507,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6016,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,pending,3,16650,429,True,0.00104925,10498.274,live,qwen/qwen3-30b-a3b-instruct-2507,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6017,1,core,team,False,book,book,completed,True,True,,accepted,4,21489,516,True,0.00209506,11735.81,live,qwen/qwen3-30b-a3b-instruct-2507,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
