case_id,trial,tier,source,negative_case,expected_decision,actual_decision,status,automatic_pass,passed,failures,outcome_failures,diagnostic_clean,diagnostic_warnings,review_status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,duration_ms,backend,model,prompt_version,descriptor_version,call_mode,autonomy,policy,reviewers
REF-6002,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24628,547,True,0.00491623,6080.452,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6003,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24639,545,True,0.00409049,7900.281,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6004,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24423,540,True,0.00401346,6069.075,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6005,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24339,509,True,0.0085742,8531.453,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6006,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24496,636,True,0.00647343,7623.885,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6007,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24541,591,True,0.00417609,6853.088,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6008,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24535,548,True,0.0087305,7885.086,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6015,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24635,673,True,0.00440902,7552.604,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6016,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24461,542,True,0.00402986,5897.808,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6017,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24510,599,True,0.00418679,7004.576,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6018,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24592,600,True,0.00558252,7262.193,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6019,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24411,520,True,0.0086233,7119.725,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6020,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24509,552,True,0.00296712,9170.767,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6022,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24710,595,True,0.00313438,7026.464,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6028,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24526,543,True,0.00294945,7827.99,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6029,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24520,546,True,0.00625536,20738.847,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6030,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24519,563,True,0.00299735,6620.432,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6031,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24423,559,True,0.00295909,6518.64,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6032,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24438,557,True,0.0040583,5851.068,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6033,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24512,635,True,0.00427739,8471.472,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6035,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,24529,608,True,0.00420932,6729.651,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6040,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,24345,539,True,0.00398783,6585.098,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6041,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,24359,549,True,0.00291489,8478.655,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6042,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,24488,639,True,0.00317805,7355.585,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6043,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,24438,604,True,0.00417796,6458.592,live,google/gemini-2.5-flash,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
