experiment_id,run_id,timestamp,case_id,trial,model,scope,family,team_price_tier,prompt_version,descriptor_version,backend,execution_mode,negative_case,expected_decision,actual_decision,passed,failure_reason,status,unsafe_book_slot_attempt,turns,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,tokens_measured,usage_measurement_status,provider_cost_usd,provider_cost_measurement_status,latency_ms,error,temperature,autonomy,prompt_hash,recomputed_ai_cost_usd,recomputed_ai_cost_status
openai_gpt4o_mini_v2,29f8b969-ae27-4b27-97ad-4d02cdaef391,2026-09-17T13:00:19.922745Z,REF-6002,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,book,True,,completed,False,4,21376,349,16256,0,True,PROVIDER_REPORTED,0.0021966,PROVIDER_REPORTED,16818.26,,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.0034158,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,2026-09-17T13:00:51.184384Z,REF-6003,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,book,True,,completed,False,4,21389,339,16128,0,True,PROVIDER_REPORTED,0.00220215,PROVIDER_REPORTED,14174.261,,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.00341175,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,2373a73d-ca6e-41c6-99e0-ef8caf1a728e,2026-09-17T13:01:05.362002Z,REF-6004,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,16488,258,15360,0,True,PROVIDER_REPORTED,0.001476,PROVIDER_REPORTED,6502.808,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.002628,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,2026-09-17T13:01:11.867488Z,REF-6005,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,11978,186,11136,0,True,PROVIDER_REPORTED,0.0010731,PROVIDER_REPORTED,12564.933,"{""type"":""InvalidModelOutput"",""message"":""AgentMove type must be 'tool_calls' or 'final'.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.0019083,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,8fd03770-1449-4e1e-9f8c-1db033f6676e,2026-09-17T13:01:24.435331Z,REF-6006,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,16471,262,15360,0,True,PROVIDER_REPORTED,0.00147585,PROVIDER_REPORTED,11745.535,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.0026278499999999997,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,d9737064-67a4-4e97-af25-0506be51f37e,2026-09-17T13:01:36.182506Z,REF-6007,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,16525,261,15360,0,True,PROVIDER_REPORTED,0.00148335,PROVIDER_REPORTED,11069.05,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.00263535,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,94d55b86-124e-4120-88df-012aa93630f8,2026-09-17T13:01:47.252973Z,REF-6008,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,11987,189,11136,0,True,PROVIDER_REPORTED,0.00107625,PROVIDER_REPORTED,13771.343,"{""type"":""InvalidModelOutput"",""message"":""AgentMove type must be 'tool_calls' or 'final'.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.00191145,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,75c9bbd8-83d3-40f2-a371-108f854a8ecc,2026-09-17T13:02:01.026454Z,REF-6015,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,11993,185,11136,0,True,PROVIDER_REPORTED,0.00107475,PROVIDER_REPORTED,12687.625,"{""type"":""InvalidModelOutput"",""message"":""AgentMove type must be 'tool_calls' or 'final'.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.00190995,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,1f1357b9-a9cd-4235-a661-780b5d693c6c,2026-09-17T13:02:13.717441Z,REF-6016,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,16514,252,15360,0,True,PROVIDER_REPORTED,0.0014763,PROVIDER_REPORTED,4994.432,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.0026282999999999996,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,982e1f15-01af-452b-ba9a-fcd5f7f105ce,2026-09-17T13:02:18.715540Z,REF-6017,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,16555,288,15360,0,True,PROVIDER_REPORTED,0.00150405,PROVIDER_REPORTED,12508.159,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.00265605,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,c37efe5c-1557-4ce2-9e4f-a163ee428fbf,2026-09-17T13:02:31.227130Z,REF-6018,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,16523,269,15360,0,True,PROVIDER_REPORTED,0.00148785,PROVIDER_REPORTED,7884.613,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.00263985,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,aef382d7-fdd4-4a43-b198-1dd4dba79a11,2026-09-17T13:02:39.113716Z,REF-6019,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,16524,292,15360,0,True,PROVIDER_REPORTED,0.0015018,PROVIDER_REPORTED,7676.79,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.0026537999999999996,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,2026-09-17T13:02:46.793418Z,REF-6020,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,16541,281,15360,0,True,PROVIDER_REPORTED,0.00149775,PROVIDER_REPORTED,7164.638,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.00264975,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,9ae78c78-b787-4f71-bb65-b78ca74958c3,2026-09-17T13:02:53.961431Z,REF-6022,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,16593,244,15360,0,True,PROVIDER_REPORTED,0.00148335,PROVIDER_REPORTED,6324.175,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.00263535,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,95189482-9616-453d-9b30-d3c411d99ad0,2026-09-17T13:03:00.288252Z,REF-6028,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,book,True,,completed,False,4,21267,340,19840,0,True,PROVIDER_REPORTED,0.00190605,PROVIDER_REPORTED,15678.266,,0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.0033940499999999996,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
openai_gpt4o_mini_v2,eb3f914c-d155-4e77-a452-838ac1e5bf02,2026-09-17T13:03:15.969986Z,REF-6029,1,openai/gpt-4o-mini,full_battery,OpenAI,lower_price,v2,v2,live,parallel,False,book,,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,invalid_model_output,False,3,16515,247,15360,0,True,PROVIDER_REPORTED,0.00147345,PROVIDER_REPORTED,4716.941,"{""type"":""InvalidModelOutput"",""message"":""Book final is not supported by a successful book_slot.""}",0.0,confirm,90ff19f3c3d852992a6f990650e233f57b38add684a07643dcbb93d77c8e7f73,0.0026254499999999997,RECOMPUTED_FROM_D5_CONFIG_LIST_RATE
