case_id,trial,tier,source,negative_case,expected_decision,actual_decision,status,automatic_pass,passed,failures,outcome_failures,diagnostic_clean,diagnostic_warnings,review_status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,duration_ms,backend,model,prompt_version,descriptor_version,call_mode,autonomy,policy,reviewers
REF-6002,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21349,379,True,0.00276918,28593.222,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6003,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21378,399,True,0.00243028,19622.234,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6004,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21113,408,True,0.00315311,23882.856,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6005,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21120,394,True,0.00669527,34449.192,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6006,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21145,389,True,0.00274548,23396.68,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6007,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21231,399,True,0.00253081,15969.097,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6008,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21244,385,True,0.00348165,17919.143,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6015,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21260,419,True,0.00241228,17890.81,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6016,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21147,377,True,0.00253635,23386.649,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6017,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21167,404,True,0.00575613,16191.669,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6018,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21263,387,True,0.00240424,23485.772,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6019,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21185,411,True,0.00359831,16833.865,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6020,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21186,441,True,0.00264446,10120.03,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6022,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;referral_observed;criteria_observed;booked_slot;one_successful_booking;booking_record_matches;booking_conditions;booked_slot_observed;booking_within_clinical_window,run_status;decision;referral_observed;criteria_observed;booked_slot;one_successful_booking;booking_record_matches;booking_conditions;booked_slot_observed;booking_within_clinical_window,False,moves_logged;slot_search_exact_assessed_band;one_booking_attempt;booking_gate;confirmation_gate,pending,0,0,0,False,0.0,2212.67,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6028,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21230,389,True,0.00386206,17940.42,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6029,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21170,399,True,0.00483876,16436.098,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6030,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21224,401,True,0.00252374,18883.944,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6031,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21078,426,True,0.0032204,11021.834,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6032,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21203,401,True,0.00239472,27413.831,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6033,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21112,414,True,0.00439056,14754.642,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6035,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21231,406,True,0.0042731,16573.824,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6040,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,21061,405,True,0.00610583,14843.8,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6041,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,21074,393,True,0.00271986,39666.955,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6042,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,21062,391,True,0.00275398,33414.179,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6043,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,21127,393,True,0.00238236,24105.758,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6044,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,20952,383,True,0.00253048,25995.575,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6045,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,21052,400,True,0.0023848,22079.06,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6046,1,core,team,False,book,book,completed,True,False,,,True,,rejected,4,21031,392,True,0.00250157,22954.643,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6050,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21154,437,True,0.00328604,21203.798,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6051,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21157,399,True,0.00254471,18473.876,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6052,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21143,390,True,0.00646694,17555.557,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6053,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21149,393,True,0.00304536,8717.907,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6054,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21156,403,True,0.00237959,38527.475,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6055,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,21162,396,True,0.00271348,7916.372,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6060,1,core,team,True,escalate,escalate,guardrail_stopped,False,False,run_status;no_booking_attempt;trigger,run_status;no_booking_attempt;trigger,False,no_unnecessary_slot_search,pending,4,16476,314,True,0.00220558,6953.266,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6060,2,core,team,True,escalate,escalate,guardrail_stopped,False,False,run_status;no_booking_attempt;trigger,run_status;no_booking_attempt;trigger,False,no_unnecessary_slot_search,pending,4,16476,314,True,0.00199356,6035.445,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6060,3,core,team,True,escalate,escalate,guardrail_stopped,False,False,run_status;no_booking_attempt;trigger,run_status;no_booking_attempt;trigger,False,no_unnecessary_slot_search,pending,4,16472,312,True,0.0019434,15057.631,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6061,1,core,team,True,request_information,request_information,completed,True,True,,,True,,accepted,2,12012,190,True,0.00184712,10454.6,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6061,2,core,team,True,request_information,request_information,completed,True,True,,,True,,accepted,2,12031,177,True,0.00129824,11558.792,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6061,3,core,team,True,request_information,request_information,completed,True,True,,,True,,accepted,2,12031,180,True,0.0012998,13623.539,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6062,1,core,team,True,escalate,escalate,completed,True,False,,,False,no_unnecessary_slot_search,rejected,3,16574,249,True,0.00185708,15834.116,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6062,2,core,team,True,escalate,escalate,completed,True,False,,,False,no_unnecessary_slot_search,rejected,3,16570,246,True,0.00183392,9889.877,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6062,3,core,team,True,escalate,escalate,completed,True,False,,,False,no_unnecessary_slot_search,rejected,3,16571,247,True,0.00180744,12045.754,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6063,1,core,team,True,escalate,escalate,completed,True,False,,,True,,rejected,2,11962,173,True,0.00140522,13779.42,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6063,2,core,team,True,escalate,escalate,completed,True,False,,,True,,rejected,2,11981,161,True,0.00407387,4851.646,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6063,3,core,team,True,escalate,escalate,completed,True,False,,,True,,rejected,2,12020,182,True,0.00132584,7414.447,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6064,1,core,team,True,escalate,escalate,completed,True,True,,,True,,accepted,3,16350,264,True,0.00246371,14130.284,live,meta-llama/llama-3.3-70b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
