case_id,trial,tier,source,negative_case,expected_decision,actual_decision,status,automatic_pass,passed,failures,outcome_failures,diagnostic_clean,diagnostic_warnings,review_status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,duration_ms,backend,model,prompt_version,descriptor_version,call_mode,autonomy,policy,reviewers
REF-6002,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,22913,559,True,0.00218532,17396.477,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6003,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,23130,537,True,0.00213087,14998.299,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6004,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,22987,592,True,0.00213763,19352.404,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6005,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,22942,573,True,0.00193282,17093.221,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6006,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,22914,568,True,0.00218715,13618.532,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6007,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,22978,571,True,0.00203393,12777.287,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6008,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,23076,575,True,0.00222167,14947.831,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6015,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,23048,589,True,0.002308,16699.64,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6016,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,22990,535,True,0.00228906,13194.611,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6017,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,22955,543,True,0.00228778,12708.113,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6018,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,23017,569,True,0.00230009,13776.877,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6019,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,23010,526,True,0.00228869,16526.567,live,mistralai/mistral-small-3.2-24b-instruct,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
