case_id,trial,tier,source,negative_case,expected_decision,actual_decision,status,automatic_pass,passed,failures,outcome_failures,diagnostic_clean,diagnostic_warnings,review_status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,duration_ms,backend,model,prompt_version,descriptor_version,call_mode,autonomy,policy,reviewers
REF-6060,1,core,team,True,escalate,,invalid_model_output,False,False,run_status;decision;referral_observed;criteria_observed;trigger;trigger_supported_by_observation,run_status;decision;referral_observed;criteria_observed;trigger;trigger_supported_by_observation,False,moves_logged,pending,0,6209,842,True,0.052095,10520.158,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6060,2,core,team,True,escalate,,invalid_model_output,False,False,run_status;decision;criteria_observed;trigger;trigger_supported_by_observation,run_status;decision;criteria_observed;trigger;trigger_supported_by_observation,True,,pending,1,12689,605,True,0.07857,11431.892,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6060,3,core,team,True,escalate,escalate,completed,True,,,,True,,pending,2,19668,296,True,0.10574,9822.07,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6061,1,core,team,True,request_information,request_information,completed,True,,,,True,,pending,2,19700,333,True,0.106825,9197.608,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6061,2,core,team,True,request_information,,invalid_model_output,False,False,run_status;decision;referral_observed;criteria_observed;missing_item;missing_supported_by_criteria,run_status;decision;referral_observed;criteria_observed;missing_item;missing_supported_by_criteria,False,moves_logged,pending,0,6209,1493,True,0.06837,17531.167,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6061,3,core,team,True,request_information,request_information,completed,True,,,,True,,pending,2,19700,354,True,0.10735,9223.851,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6062,1,core,team,True,escalate,escalate,completed,True,,,,True,,pending,2,19661,435,True,0.10918,14473.494,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6062,2,core,team,True,escalate,,invalid_model_output,False,False,run_status;decision;referral_observed;criteria_observed;trigger;trigger_supported_by_observation,run_status;decision;referral_observed;criteria_observed;trigger;trigger_supported_by_observation,False,moves_logged,pending,0,6209,922,True,0.054095,12458.694,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6062,3,core,team,True,escalate,escalate,completed,True,,,,True,,pending,2,19660,452,True,0.1096,9596.638,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6063,1,core,team,True,escalate,escalate,completed,True,,,,True,,pending,2,19668,344,True,0.10694,8881.386,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6063,2,core,team,True,escalate,escalate,completed,True,,,,True,,pending,2,19668,374,True,0.10769,12788.253,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6063,3,core,team,True,escalate,,invalid_model_output,False,False,run_status;decision;referral_observed;criteria_observed;trigger;trigger_supported_by_observation,run_status;decision;referral_observed;criteria_observed;trigger;trigger_supported_by_observation,False,moves_logged,pending,0,6209,951,True,0.05482,13089.758,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6064,1,core,team,True,escalate,escalate,completed,True,,,,True,,pending,3,26700,503,True,0.146075,12804.64,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6064,2,core,team,True,escalate,escalate,completed,True,,,,True,,pending,3,26696,498,True,0.14593,12108.285,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6064,3,core,team,True,escalate,,invalid_model_output,False,False,run_status;decision;criteria_observed;slot_search_exact_assessed_band;trigger;trigger_supported_by_observation,run_status;decision;criteria_observed;slot_search_exact_assessed_band;trigger;trigger_supported_by_observation,True,,pending,1,12653,1503,True,0.10084,17982.096,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6065,1,core,team,True,escalate,,invalid_model_output,False,False,run_status;decision;criteria_observed;trigger;trigger_supported_by_observation,run_status;decision;criteria_observed;trigger;trigger_supported_by_observation,True,,pending,1,12699,652,True,0.079795,10356.313,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6065,2,core,team,True,escalate,escalate,guardrail_stopped,True,,,,True,,pending,2,12699,353,True,0.07232,8825.836,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6065,3,core,team,True,escalate,,invalid_model_output,False,False,run_status;decision;referral_observed;criteria_observed;trigger;trigger_supported_by_observation,run_status;decision;referral_observed;criteria_observed;trigger;trigger_supported_by_observation,False,moves_logged,pending,0,6209,285,True,0.03817,4848.154,live,anthropic/claude-opus-5,v2,v2,parallel,confirm,prompt_version=v2|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
