experiment_id,model_id,family,scope,run_id,case_id,trial,negative_case,expected_decision,actual_decision,status,original_passed,normalized_passed,changed,original_failure_reason,normalized_failure_reason,scoring_rule_causing_change,review_resolution,diagnostic_warnings,turns,input_tokens,output_tokens,cached_input_tokens,reasoning_tokens,provider_cost_usd,unsafe_book_slot_attempt
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,29f8b969-ae27-4b27-97ad-4d02cdaef391,REF-6002,1,False,book,book,completed,True,True,False,,,,SAVED_CLAIM_VERDICTS,,4,21376,349,16256,0,0.0021966,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,fc48a6b8-8a4b-4deb-9022-c9cd826a6ac4,REF-6003,1,False,book,book,completed,True,True,False,,,,SAVED_CLAIM_VERDICTS,,4,21389,339,16128,0,0.00220215,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,2373a73d-ca6e-41c6-99e0-ef8caf1a728e,REF-6004,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16488,258,15360,0,0.001476,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,1aa43881-6cbe-4275-b45c-56dfc4e4f8bc,REF-6005,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,11978,186,11136,0,0.0010731,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,8fd03770-1449-4e1e-9f8c-1db033f6676e,REF-6006,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16471,262,15360,0,0.00147585,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,d9737064-67a4-4e97-af25-0506be51f37e,REF-6007,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16525,261,15360,0,0.00148335,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,94d55b86-124e-4120-88df-012aa93630f8,REF-6008,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,11987,189,11136,0,0.00107625,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,75c9bbd8-83d3-40f2-a371-108f854a8ecc,REF-6015,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,11993,185,11136,0,0.00107475,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,1f1357b9-a9cd-4235-a661-780b5d693c6c,REF-6016,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16514,252,15360,0,0.0014763,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,982e1f15-01af-452b-ba9a-fcd5f7f105ce,REF-6017,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16555,288,15360,0,0.00150405,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,c37efe5c-1557-4ce2-9e4f-a163ee428fbf,REF-6018,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16523,269,15360,0,0.00148785,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,aef382d7-fdd4-4a43-b198-1dd4dba79a11,REF-6019,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16524,292,15360,0,0.0015018,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,fc35fd84-eea6-44c4-ba4e-4f80ee897dcc,REF-6020,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16541,281,15360,0,0.00149775,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,9ae78c78-b787-4f71-bb65-b78ca74958c3,REF-6022,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16593,244,15360,0,0.00148335,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,95189482-9616-453d-9b30-d3c411d99ad0,REF-6028,1,False,book,book,completed,True,True,False,,,,SAVED_CLAIM_VERDICTS,,4,21267,340,19840,0,0.00190605,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,eb3f914c-d155-4e77-a452-838ac1e5bf02,REF-6029,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16515,247,15360,0,0.00147345,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,9e74f70e-3a8c-4eb4-934c-ba7dcfbe17f5,REF-6030,1,False,book,,invalid_model_output,False,False,False,run_status;decision;criteria_observed;slot_search_exact_assessed_band;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate;booking_conditions;booked_slot_observed;booking_within_clinical_window,run_status;decision;criteria_observed;booked_slot;one_successful_booking;booking_record_matches;booking_conditions;booked_slot_observed;booking_within_clinical_window;slot_search_exact_assessed_band;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,slot_search_exact_assessed_band;one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,1,3747,45,3584,0,0.00032025,False
openai_gpt4o_mini_v2,openai/gpt-4o-mini,OpenAI,full_battery,6c27c1b5-5d75-4604-b6e9-b2dd04d73b93,REF-6031,1,False,book,,invalid_model_output,False,False,False,run_status;decision;booked_slot;one_booking_attempt;one_proposed_booking;one_successful_booking;booking_record_matches;booking_gate;confirmation_gate,run_status;decision;booked_slot;one_successful_booking;booking_record_matches;one_booking_attempt;booking_gate;confirmation_gate,,NOT_REQUIRED_WHILE_AUTOMATIC_FAILURE,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,3,16465,254,15360,0,0.00147015,False
