case_id,trial,tier,source,negative_case,expected_decision,actual_decision,status,automatic_pass,passed,failures,outcome_failures,diagnostic_clean,diagnostic_warnings,review_status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,duration_ms,backend,model,prompt_version,descriptor_version,call_mode,autonomy,policy,reviewers
REF-6002,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,20899,601,True,0.00129317,7634.721,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6003,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16105,470,True,0.00105229,9608.178,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6004,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16012,471,True,0.00125627,13914.231,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6005,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16031,511,True,0.00121737,5700.104,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6006,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,20696,561,True,0.00178077,10944.492,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6007,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16036,421,True,0.00164352,9404.791,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6008,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16075,486,True,0.00086783,8805.668,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6015,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16037,448,True,0.00085867,6985.305,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6016,1,core,team,False,book,,invalid_model_output,False,False,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,run_status;decision;booked_slot;one_successful_booking;booking_record_matches,False,one_booking_attempt;one_proposed_booking;booking_gate;confirmation_gate,pending,3,16045,451,True,0.00131828,6017.362,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,
REF-6017,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,20638,504,True,0.00162895,16374.645,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6018,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,20757,536,True,0.001577,6969.773,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
REF-6019,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,20751,537,True,0.0022362,5901.804,live,qwen/qwen3-30b-a3b-instruct-2507,v1,v2,parallel,confirm,prompt_version=v1|descriptor_version=v2|call_mode=parallel|autonomy=confirm,OpenAI Codex (AI judgement review)
