case_id,trial,tier,source,negative_case,expected_decision,actual_decision,status,automatic_pass,passed,failures,outcome_failures,diagnostic_clean,diagnostic_warnings,review_status,turns,tokens_in,tokens_out,tokens_measured,cost_usd,duration_ms,backend,model,prompt_version,descriptor_version,call_mode,autonomy,policy,reviewers
REF-6002,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,8.051,scripted,scripted,v1,v1,parallel,confirm,prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6002,2,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,3.109,scripted,scripted,v1,v1,parallel,confirm,prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6002,3,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.996,scripted,scripted,v1,v1,parallel,confirm,prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6003,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.887,scripted,scripted,v1,v1,parallel,confirm,prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6003,2,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,3.149,scripted,scripted,v1,v1,parallel,confirm,prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6003,3,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,3.05,scripted,scripted,v1,v1,parallel,confirm,prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6004,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.885,scripted,scripted,v1,v1,parallel,confirm,prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6004,2,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.825,scripted,scripted,v1,v1,parallel,confirm,prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6004,3,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,2.865,scripted,scripted,v1,v1,parallel,confirm,prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
REF-6005,1,core,team,False,book,book,completed,True,True,,,True,,accepted,4,0,0,False,0.0,3.262,scripted,scripted,v1,v1,parallel,confirm,prompt_version=v1|descriptor_version=v1|call_mode=parallel|autonomy=confirm,OpenAI Codex (GPT-5)
